Screen, Action, Date --- Time
Estimote Timer,Started Estimote Service at,08/05/2019 19:22:19.550
Estimote Timer,No Activity at 1,08/05/2019 19:22:19.575
Main Activity,Started Heart Rate Timer at,08/05/2019 19:22:41.886
Main Activity,Started Accelerometer Sensor at,08/05/2019 19:22:41.922
Main Activity,Started Pedometer Sensor at,08/05/2019 19:22:41.956
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 19:22:42.332
Estimote Timer,Started Estimote Service at,08/05/2019 19:22:42.514
Estimote Timer,Starting the Estimote,08/05/2019 19:22:42.604
Estimote Sensor,Killed Sensor at,08/05/2019 19:22:58.936
Estimote Service,Killed Estimote Service at,08/05/2019 19:22:58.951
Heart Rate Sensor,Killed Sensor at,08/05/2019 19:23:13.595
Estimote Timer,Started Estimote Service at,08/05/2019 19:24:42.511
Estimote Timer,No Activity at 1,08/05/2019 19:24:42.532
Estimote Sensor,Killed Sensor at,08/05/2019 19:24:57.565
Estimote Service,Killed Estimote Service at,08/05/2019 19:24:58.136
Estimote Timer,Started Estimote Service at,08/05/2019 19:26:42.513
Estimote Timer,No Activity at 2,08/05/2019 19:26:42.529
Estimote Sensor,Killed Sensor at,08/05/2019 19:26:57.559
Estimote Service,Killed Estimote Service at,08/05/2019 19:26:57.574
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 19:27:42.315
Heart Rate Sensor,Killed Sensor at,08/05/2019 19:28:12.396
Estimote Timer,Started Estimote Service at,08/05/2019 19:28:42.514
Estimote Timer,No Activity at 3,08/05/2019 19:28:42.530
Estimote Sensor,Killed Sensor at,08/05/2019 19:28:57.561
Estimote Service,Killed Estimote Service at,08/05/2019 19:28:57.575
Main Activity,Failed to unregister battery information at,08/05/2019 19:29:28.529
Followup EMA Scheduler Timer,(Re)Initiated at,08/05/2019 19:30:20.437
Followup EMA Scheduler Timer,Failed to Cancel at,08/05/2019 19:30:20.448
Estimote Timer,Started Estimote Service at,08/05/2019 19:30:42.514
Estimote Timer,No Activity at 4,08/05/2019 19:30:42.541
Estimote Sensor,Killed Sensor at,08/05/2019 19:30:57.602
Estimote Service,Killed Estimote Service at,08/05/2019 19:30:57.616
Main Activity,Failed to unregister battery information at,08/05/2019 19:32:32.937
Main Activity 'Daily Survey' Button,Started End of Day EMA at,08/05/2019 19:32:41.332
Main Activity,Failed to unregister battery information at,08/05/2019 19:32:42.026
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 19:32:42.317
Estimote Timer,Started Estimote Service at,08/05/2019 19:32:42.515
Estimote Timer,No Activity at 5,08/05/2019 19:32:42.539
Estimote Timer,Stopped the Estimote Timer,08/05/2019 19:32:42.556
Estimote Timer,Stopped Estimote Timer at,08/05/2019 19:32:42.572
Manual EMA Prompt,Started End of Day EMA at,08/05/2019 19:32:50.230
Heart Rate Sensor,Killed Sensor at,08/05/2019 19:33:12.394
Estimote Timer,Started Estimote Service at,08/05/2019 19:36:00.196
Estimote Timer,No Activity at 1,08/05/2019 19:36:00.222
Estimote Sensor,Killed Sensor at,08/05/2019 19:36:15.329
Estimote Service,Killed Estimote Service at,08/05/2019 19:36:15.342
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 19:37:42.317
Estimote Timer,Started Estimote Service at,08/05/2019 19:38:00.196
Estimote Timer,No Activity at 2,08/05/2019 19:38:00.214
Heart Rate Sensor,Killed Sensor at,08/05/2019 19:38:12.390
Estimote Sensor,Killed Sensor at,08/05/2019 19:38:15.244
Estimote Service,Killed Estimote Service at,08/05/2019 19:38:15.258
Estimote Timer,Started Estimote Service at,08/05/2019 19:40:00.199
Estimote Timer,No Activity at 3,08/05/2019 19:40:00.214
Estimote Sensor,Killed Sensor at,08/05/2019 19:40:15.239
Estimote Service,Killed Estimote Service at,08/05/2019 19:40:15.252
Main Activity,Failed to unregister battery information at,08/05/2019 19:40:16.222
Estimote Timer,Started Estimote Service at,08/05/2019 19:42:00.200
Estimote Timer,No Activity at 4,08/05/2019 19:42:00.216
Estimote Sensor,Killed Sensor at,08/05/2019 19:42:15.241
Estimote Service,Killed Estimote Service at,08/05/2019 19:42:15.255
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 19:42:42.317
Heart Rate Sensor,Killed Sensor at,08/05/2019 19:43:12.393
Estimote Timer,Started Estimote Service at,08/05/2019 19:44:00.202
Estimote Timer,No Activity at 5,08/05/2019 19:44:00.216
Estimote Timer,Stopped the Estimote Timer,08/05/2019 19:44:00.227
Estimote Timer,Stopped Estimote Timer at,08/05/2019 19:44:00.239
Heart Rate Timer Service,Started Heart Rate Sensor at,08/05/2019 19:47:42.319
Heart Rate Sensor,Killed Sensor at,08/05/2019 19:48:12.383
Main Activity,Restarted Estimote Timer at,08/05/2019 19:48:12.432
Estimote Timer,Started Estimote Service at,08/05/2019 19:48:12.577
Estimote Timer,No Activity at 1,08/05/2019 19:48:12.624
Main Activity,Failed to unregister battery information at,08/05/2019 19:48:25.194
Estimote Sensor,Killed Sensor at,08/05/2019 19:48:27.655
Estimote Service,Killed Estimote Service at,08/05/2019 19:48:27.681
Main Activity,Failed to unregister battery information at,08/05/2019 19:49:30.709
Main Activity,Failed to unregister battery information at,08/05/2019 19:49:46.407
Estimote Timer,Started Estimote Service at,08/05/2019 19:50:12.580
Estimote Timer,No Activity at 2,08/05/2019 19:50:12.595
Estimote Sensor,Killed Sensor at,08/05/2019 19:50:27.623
Estimote Service,Killed Estimote Service at,08/05/2019 19:50:27.636
Main Activity,Failed to unregister battery information at,08/05/2019 19:51:16.267
Estimote Timer,Started Estimote Service at,08/05/2019 19:52:12.583
Estimote Timer,No Activity at 3,08/05/2019 19:52:12.598
