Screen, Action, Date --- Time
Sleep Button,Stopped Estimote Sensor while charging at,08/05/2019 19:50:30.868
Main Thread,Enabled an Internet Connection at,08/05/2019 19:50:31.133
Estimote Timer,Stopped Estimote Timer at,08/05/2019 19:50:31.323
Main Activity,Restarted Heart Rate Timer at,08/06/2019 06:05:32.688
Main Activity,Restarted Accelerometer Sensor at,08/06/2019 06:05:32.709
Main Activity,Restarted Estimote Timer at,08/06/2019 06:05:32.761
Heart Rate Timer Service,Started Heart Rate Sensor at,08/06/2019 06:05:32.955
Estimote Timer,Started Estimote Service at,08/06/2019 06:05:33.035
Estimote Timer,No Activity at 1,08/06/2019 06:05:33.064
Estimote Sensor,Killed Sensor at,08/06/2019 06:05:48.459
Estimote Service,Killed Estimote Service at,08/06/2019 06:05:48.470
Main Activity,Failed to unregister battery information at,08/06/2019 06:05:49.742
Main Thread,Wifi is disabled at,08/06/2019 06:05:54.697
Sleep Button,Stopped Heart Rate Sensor while NOT charging at,08/06/2019 06:05:54.726
Sleep Button,Stopped Accelerometer Sensor while NOT charging at,08/06/2019 06:05:54.727
Sleep Button,Stopped Estimote Sensor while NOT charging at,08/06/2019 06:05:54.728
Heart Rate Timer Service,Stopped Heart Rate Sensor at,08/06/2019 06:05:54.810
Estimote Timer,Stopped Estimote Timer at,08/06/2019 06:05:54.838
Main Thread,Wifi is disabled at,08/06/2019 06:05:57.011
Sleep Button,Started Heart Rate Sensor while NOT charging at,08/06/2019 06:05:57.037
Sleep Button,Started Accelerometer Sensor while NOT charging at,08/06/2019 06:05:57.038
Sleep Button,Started Estimote Sensor while NOT charging at,08/06/2019 06:05:57.039
Heart Rate Timer Service,Started Heart Rate Sensor at,08/06/2019 06:05:57.164
Estimote Timer,Started Estimote Service at,08/06/2019 06:05:57.218
Estimote Timer,No Activity at 1,08/06/2019 06:05:57.249
Main Activity,Failed to unregister battery information at,08/06/2019 06:06:06.694
Estimote Sensor,Killed Sensor at,08/06/2019 06:06:12.298
Estimote Service,Killed Estimote Service at,08/06/2019 06:06:12.310
Heart Rate Sensor,Killed Sensor at,08/06/2019 06:06:27.277
Estimote Timer,Started Estimote Service at,08/06/2019 06:07:57.219
Estimote Timer,No Activity at 2,08/06/2019 06:07:57.233
Estimote Sensor,Killed Sensor at,08/06/2019 06:08:12.264
Estimote Service,Killed Estimote Service at,08/06/2019 06:08:12.278
Estimote Timer,Started Estimote Service at,08/06/2019 06:09:57.220
Estimote Timer,No Activity at 3,08/06/2019 06:09:57.233
Estimote Sensor,Killed Sensor at,08/06/2019 06:10:12.258
Estimote Service,Killed Estimote Service at,08/06/2019 06:10:12.272
Heart Rate Timer Service,Started Heart Rate Sensor at,08/06/2019 06:10:57.162
Heart Rate Sensor,Killed Sensor at,08/06/2019 06:11:27.238
Estimote Timer,Started Estimote Service at,08/06/2019 06:11:57.221
Estimote Timer,No Activity at 4,08/06/2019 06:11:57.237
Estimote Sensor,Killed Sensor at,08/06/2019 06:12:12.266
Estimote Service,Killed Estimote Service at,08/06/2019 06:12:12.278
Estimote Timer,Started Estimote Service at,08/06/2019 06:13:57.222
Estimote Timer,No Activity at 5,08/06/2019 06:13:57.246
Estimote Timer,Stopped the Estimote Timer,08/06/2019 06:13:57.257
Estimote Timer,Stopped Estimote Timer at,08/06/2019 06:13:57.272
Main Thread,Wifi is disabled at,08/06/2019 06:15:51.963
Sleep Button,Stopped Heart Rate Sensor while NOT charging at,08/06/2019 06:15:51.986
Sleep Button,Stopped Accelerometer Sensor while NOT charging at,08/06/2019 06:15:51.987
Sleep Button,Stopped Estimote Sensor while NOT charging at,08/06/2019 06:15:51.988
Estimote Timer,Stopped Estimote Timer at,08/06/2019 06:15:52.085
Estimote Timer,Started Estimote Service at,08/06/2019 06:15:52.078
Estimote Timer,No Activity at 1,08/06/2019 06:15:52.104
Estimote Timer,Started Estimote Service at,08/06/2019 06:16:05.021
Estimote Timer,No Activity at 1,08/06/2019 06:16:05.050
Estimote Sensor,Killed Sensor at,08/06/2019 06:16:29.154
Estimote Service,Killed Estimote Service at,08/06/2019 06:16:29.166
Estimote Sensor,Killed Sensor at,08/06/2019 06:16:29.167
Main Thread,Wifi is disabled at,08/06/2019 06:16:39.407
Sleep Button,Started Heart Rate Sensor while NOT charging at,08/06/2019 06:16:39.434
Sleep Button,Started Accelerometer Sensor while NOT charging at,08/06/2019 06:16:39.435
